     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           106  0.000108              0.011425       0.604951       0.000009      **********
           107  0.000108              0.011533       0.608704       0.000009      **********
           108  0.000108              0.011640       0.612085       0.000009      **********
           109  0.000108              0.011748       0.615079       0.000009      **********
           110  0.000108              0.011856       0.617671       0.000009      **********
           111  0.000108              0.011964       0.619850       0.000009      **********
           112  0.000108              0.012071       0.621603       0.000009      **********
           113  0.000108              0.012179       0.622923       0.000009      **********
           114  0.000108              0.012287       0.623802       0.000009      **********
           115  0.000108              0.012395       0.624237       0.000009      **********
           116  0.000108              0.012503       0.625278       0.000009      **********
           117  0.000108              0.012610       0.629235       0.000009      **********
           118  0.000108              0.012718       0.632834       0.000009      **********
           119  0.000108              0.012826       0.636057       0.000009      **********
           120  0.000108              0.012934       0.638887       0.000009      **********
           121  0.000108              0.013041       0.641308       0.000009      **********
           122  0.000108              0.013149       0.643304       0.000009      **********
           123  0.000108              0.013257       0.644865       0.000009      **********
           124  0.000108              0.013365       0.645980       0.000009      **********
           125  0.000108              0.013473       0.646642       0.000009      **********
           126  0.000108              0.013580       0.646848       0.000009      **********
           127  0.000108              0.013688       0.646715       0.000009      **********
           128  0.000108              0.013796       0.650589       0.000009      **********
           129  0.000108              0.013904       0.654106       0.000009      **********
           130  0.000108              0.014011       0.657247       0.000009      **********
           131  0.000108              0.014119       0.659991       0.000009      **********
           132  0.000108              0.014227       0.662323       0.000009      **********
           133  0.000108              0.014335       0.664230       0.000009      **********
           134  0.000108              0.014443       0.665698       0.000009      **********
           135  0.000108              0.014550       0.666719       0.000009      **********
           136  0.000108              0.014658       0.667284       0.000009      **********
           137  0.000108              0.014766       0.667389       0.000009      **********
           138  0.000108              0.014874       0.667033       0.000009      **********
           139  0.000108              0.014982       0.669078       0.000009      **********
           140  0.000108              0.015089       0.672546       0.000009      **********
           141  0.000108              0.015197       0.675642       0.000009      **********
           142  0.000108              0.015305       0.678348       0.000009      **********
           143  0.000108              0.015413       0.680650       0.000009      **********
           144  0.000108              0.015520       0.682532       0.000009      **********
